공고번호,지역,회사명,공고제목,기술스택/분야,마감일
53263131,서울,대상정보기술(주),[대상정보기술] 각 부문별 신입·경력 채용,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발 외                    수정일 26/05/14",~ 06/12(금)
52711817,서울,기쁨병원,각 부문 신입 및 경력 채용,"API, .NET, ASP, ASP.NET, C# 외                    수정일 26/05/14",~ 05/25(월)
53822280,서울,아이헤이트플라잉버그스(주),[전환 축하금 100만원] 중등/고등 수학 학습관리 선생님,"데이터분석가, 데이터엔지니어, AI(인공지능), 더존, 사무직 외                    수정일 26/05/14",~ 06/06(토)
53845297,서울,비엑스티솔루션(주),(주)비엑스티솔루션 ERP 솔루션영업 채용,"솔루션, ERP, SAP, 솔루션기술영업, 시스템영업 외                    수정일 26/05/14",~ 05/22(금)
53887428,서울,(주)평화이즈,IT시스템 관리 운영 개발자 모집,"Java, Xplatform, SI·시스템통합, ERP, CRM 외                    등록일 26/05/14",~ 05/21(목)
53788883,서울,(주)캐리마,기업부설연구소 H/W 개발자 모집,"S/W, 고분자, 기술연구, 기계설계, 전자제어 외                    수정일 26/05/19",~ 05/29(금)
53934583,서울,(주)모닝인,[효성그룹 게열사] 물류사무원 채용,"SAP, 영업지원, 수출입, 물류사무원, 국제물류 외                    등록일 26/05/19",~ 05/26(화)
53934545,서울,유한킴벌리(주),2026년 유한킴벌리 신입 및 경력사원 채용,"데이터분석가, 유지보수, SAP, 설비OP, 공정엔지니어 외                    수정일 26/05/19",~ 06/01(월)
53540228,서울,(주)캐리마,[병역특례]3D프린팅 전문연구요원 채용 공고,"S/W, 고분자, 기술연구, 기계설계, 전자제어 외                    수정일 26/05/19",~ 05/29(금)
53788866,서울,(주)캐리마텍,[캐리마텍]기업부설연구소 H/W개발자 모집,"H/W, 기계 수정일 26/05/19",~ 05/29(금)
53934519,서울,에프에스엠에이치(주),우리는 성장하는 팀에 합류할 백엔드 개발자를 모셔요,"백엔드/서버개발, 전자상거래 등록일 26/05/19",~ 06/18(목)
53899575,서울,유한회사 미소,[O2O 홈서비스 플랫폼 miso] Front-end Chapter Lead (7년 이상),"프론트엔드, 전자상거래, B2B, B2C, 오픈마켓 외                    수정일 26/05/19",~ 06/14(일)
53934514,서울,(주)시오랩,[강소기업] 클라우드 환경을 위한 데이터보호(넷백업) 엔지니어,"기술지원, 클라우드, veritas, cohesity, SI·시스템통합 외                    등록일 26/05/19",~ 06/18(목)
53934507,서울,(주)아이싸이랩,AI / Data 백엔드 개발자,"백엔드/서버개발, 소프트웨어개발 수정일 26/05/19",~ 05/29(금)
53934495,서울,(주)브레인센터,(강서-오정로) 데이터센터 헬프데스크 모집,"기술지원, 유지보수, 네트워크, 2교대, 야간근무 외                    등록일 26/05/19",~ 06/03(수)
53934492,서울,(주)디어그린,C#/C++ 응용 소프트웨어 개발자 구인(부분 재택 가능),".NET, C#, C++, C언어, MySQL 외                    등록일 26/05/19",~ 06/18(목)
53934489,서울,(주)에이치앤엠,네트워크 운영 엔지니어 (야간OP),"네트워크, NI·네트워크통합 등록일 26/05/19",~ 06/18(목)
53934485,서울,펜타시큐리티(주),IT·클라우드 보안 서비스 기획 (프로덕트 매니저) 신입/경력,"정보보안, 방화벽, S/W, 기술기획, 사업기획 외                    등록일 26/05/19",채용시
53934482,서울,HR컨설팅(주),정보보호 보안기획 경력,"정보보안, ISMS, 정보보안 등록일 26/05/19",~ 06/03(수)
53890882,서울,주식회사 더프리마,2026년 더프리마 신입·경력 채용,"기술지원, 데이터분석가, 유지보수, 세무사, 전산회계 외                    수정일 26/05/14",~ 06/24(수)
53903548,서울,(주)오픈베이스,원격 보안 관제 전문 인력 채용,"네트워크, 방화벽, 솔루션, 보안관제, SI·시스템통합 수정일 26/05/19",~ 07/14(화)
53439113,서울,(주)스페이드컴퍼니,풀스택 개발자 경력 채용,"웹개발, DevOps, Infra, Fullstack, 시각디자인 외                    수정일 26/05/19",상시채용
53891569,서울,(주)엔키화이트햇,RedOps팀: 침투테스트 자동화 보안솔루션 유지보수 엔지니어,"네트워크, 모의해킹, 방화벽, 악성코드, 인프라 외                    등록일 26/05/14",~ 06/13(토)
53934342,서울,우리에프아이에스(주),[우리FIS] 인프라운영 경력 채용,"보안컨설팅, 정보보안, CISO, 네트워크, 모의해킹 외                    수정일 26/05/19",~ 06/18(목)
53934339,서울,(주)크라우드웍스,[서울/출퇴근] 금융 서류 데이터 라벨링 업무 PA,"데이터라벨링, 컨텐츠제공 수정일 26/05/19",~ 06/18(목)
53934338,서울,로버트월터스코리아(주),[IT/엔지니어] Infra Engineer,"인프라, S/W, 솔루션업체, 소프트웨어개발 등록일 26/05/19",채용시
53934328,서울,㈜한국금융IT,증권금융IT 전문기업 증권 MTS 앱 개발자 모집,"Android, iOS, Kotlin, Objective-C, Swift 외                    등록일 26/05/19",~ 06/30(화)
53803938,서울,(주)와이지엔터테인먼트,2026년 2분기 YG엔터테인먼트 정기채용,"데이터분석가, 모델링, AI(인공지능), AWS, Python 외                    수정일 26/05/15",내일마감
53920372,서울,법무법인와이케이,[법무법인YK] 강남 주사무소 직원 채용,"정보보안, 비서, 사무직, 법률사무원, 수행기사 외                    수정일 26/05/18",~ 05/22(금)
53902434,서울,(주)신흥,㈜신흥 신입/경력 사원 채용,"ERP, 전산회계, 더존, 법인결산, 법인세신고 외                    수정일 26/05/19",진행예정
53934228,서울,(주)씨에스리,빅데이터 플랫폼 개발자 채용,"데이터엔지니어, 백엔드/서버개발, 웹개발, 프론트엔드, Java 외                    등록일 26/05/19",~ 07/18(토)
53934222,서울,(주)이든크루,Flutter 개발자 (미들) 채용,"Flutter, 소프트웨어개발 수정일 26/05/19",상시채용
53934206,서울,(주)케이티엔에프,연구개발본부 하드웨어(H/W) 엔지니어 경력자 모집,"네트워크, 임베디드, H/W, MCU, 연구원 외                    수정일 26/05/19",~ 06/18(목)
53901133,서울,(주)마티아솔루션,IDC 서비스관제 운영 인력 채용(판교),"IDC, SI·시스템통합, NI·네트워크통합, 시스템관리, SM 수정일 26/05/19",~ 06/14(일)
53934180,서울,(주)한스파마,[한스파마] 헬스케어서비스IT 앱 개발자 채용 (경력),"기술지원, 백엔드/서버개발, 유지보수, API, DevOps 외                    등록일 26/05/19",채용시
53865356,서울,(주)온코소프트,[온코소프트] 데이터 엔지니어 (AI Platform / 의료 AI),"데이터엔지니어, 소프트웨어개발 수정일 26/05/19",~ 06/12(금)
53934114,서울,(주)스틸리언,[STEALIEN] 화이트해커 채용 (모의침투테스트/레드팀서비스),"정보보안, 모의해킹, 보안, 정보보안 등록일 26/05/19",~ 06/18(목)
53934102,서울,(주)유콘텍,[유콘텍] IT보안 솔루션 경력 영업직을 모집 합니다,"정보보안, 네트워크, 클라우드, 기술영업, 영업직 외                    등록일 26/05/19",~ 06/18(목)
